NOC,Latitude
CHN,35
DEN,56
NED,52.5
USA,38
FIN,64
NOR,62
ROU,46
EST,59
FRA,46
MAR,32
ESP,40
EGY,27
IRI,32
BUL,43
ITA,42.83
CHA,15
AZE,40.5
SUD,15
RUS,60
ARG,-34
CUB,21.5
BLR,53
GRE,39
CMR,6
TUR,39
CHI,-30
MEX,23
URS,60
NCA,13
HUN,47
NGR,10
ALG,28
KUW,29.34
BRN,26
PAK,30
IRQ,33
UAR,30
LIB,33.83
QAT,25.5
MAS,2.5
GER,51
CAN,60
IRL,53
AUS,-27
RSA,-29
ERI,15
TAN,-6
JOR,31
TUN,34
LBA,25
BEL,50.83
DJI,11.5
PLE,32
COM,-12.17
KAZ,48
BRU,4.5
IND,20
KSA,25
SYR,35
MDV,3.25
ETH,8
UAE,24
YAR,15
INA,-5
PHI,13
SGP,1.37
UZB,41
KGZ,41
TJK,39
EUN,60
JPN,36
CGO,-1
SUI,47
BRA,-10
FRG,51
GDR,51
MON,22.17
ISR,31.5
URU,-33
SWE,62
ISV,18.33
SRI,7
ARM,40
CIV,8
KEN,1
BEN,9.5
UKR,49
GBR,54
GHA,8
SOM,10
LAT,57
NIG,16
MLI,17
AFG,33
POL,52
CRC,10
PAN,9
GEO,42
SLO,46
CRO,45.17
GUY,5
NZL,-41
POR,39.5
PAR,-23
ANG,-12.5
VEN,8
COL,4
BAN,24
PER,-10
ESA,13.83
PUR,18.25
UGA,1
HON,15
ECU,-2
TKM,40
MRI,20
SEY,-4.58
TCH,48
LUX,49.75
MTN,20
CZE,49.75
SKN,17.33
TTO,11
DOM,19
VIN,13.25
JAM,18.25
LBR,6.5
SUR,4
NEP,28
MGL,46
AUT,47.33
PLW,7.5
LTU,56
TOG,8
NAM,-22
AHO,12.25
ISL,65
ASA,-14.33
SAM,13.75
RWA,-2
DMA,15.42
HAI,19
MLT,35.83
CYP,35
GUI,11
BIZ,17.25
YMD,15
KOR,37
THA,15
BER,32.33
ANZ,-27
SCG,44.81
SLE,8.5
PNG,-6
YEM,15
IOA,0
OMA,21
FIJ,-18
VAN,-16
MDA,47
YUG,43.85
BAH,24.25
GUA,15.5
SRB,44
IVB,18.5
MOZ,-18.25
CAF,7
MAD,-20
MAL,2.5
BIH,44
GUM,13.47
CAY,19.5
SVK,48.67
BAR,13.17
GBS,12
TLS,-8.5
COD,0
GAB,-1
SMR,43.77
LAO,18
BOT,-22
ROT,0
CAM,13
PRK,40
SOL,-8
SEN,14
CPV,16
CRT,35.24
GEQ,2
BOL,-17
SAA,49.39
AND,42.5
ANT,17.05
ZIM,-20
GRN,12.12
HKG,22.25
LCA,13.88
FSM,6.92
MYA,22
MAW,-13.5
ZAM,-15
RHO,-20
TPE,23.69
STP,1
MKD,41.83
BOH,49.75
TGA,-20
LIE,47.17
MNE,42
GAM,13.47
COK,-21.23
ALB,41
WIF,23
SWZ,-26.5
BUR,13
NBO,4.25
BDI,-3.5
ARU,-3.5
NRU,-0.53
VNM,14.05
VIE,16
BHU,27.5
MHL,9
KIR,1.42
UNK,0
TUV,-7.1
NFL,54.27
KOS,42.6
SSD,6.87
LES,-29.5
